turns,victory_status,winner,white_rating,black_rating,opening_name,opening_ply,increment_code
131,resign,white,1571,1728,Queen's Pawn Game: London System,5,30+0
48,resign,white,1720,1579,French Defense: Chigorin Variation,3,30+0
47,resign,black,1579,2105,Queen's Pawn Game: London System,5,15+5
64,mate,black,1768,1560,French Defense: La Bourdonnais Variation,3,15+5
61,resign,white,1552,1436,Queen's Pawn Game: Mason Attack,3,15+5
57,mate,white,1536,1667,Queen's Pawn Game: London System,5,15+5
51,resign,white,1521,1549,English Opening: Anglo-Lithuanian Variation,2,15+5
58,mate,black,1251,1545,Crab Opening,3,15+5
71,resign,white,1537,1408,Queen's Pawn Game: Mason Attack,3,15+5
114,resign,white,1522,1512,Queen's Pawn,1,15+5
39,resign,white,1602,1532,French Defense: Winawer Variation ,11,15+5
20,resign,black,1543,1593,Queen's Pawn Game: London System,5,15+5
48,resign,black,1556,1539,Queen's Pawn Game: Mason Attack,3,30+0
34,mate,black,1409,1548,French Defense: Knight Variation,3,20+10
51,resign,white,1539,1418,Queen's Pawn Game: London System,5,20+10
69,resign,white,1603,1550,French Defense: Queen's Knight,3,20+10
28,resign,white,1542,1399,Queen's Pawn Game: Steinitz Countergambit,4,20+10
62,resign,black,1546,1877,Queen's Pawn Game: London System,5,20+10
62,mate,black,1134,1535,Queen's Indian Defense,4,20+10
85,mate,white,1513,1784,Horwitz Defense,2,20+10
38,resign,white,1501,1445,Queen's Pawn Game: London System,5,20+10
14,resign,white,1500,1500,Italian Game: Giuoco Pianissimo ,8,45+0
113,draw,draw,1745,1714,Queen's Gambit Refused: Marshall Defense,4,15+0
62,resign,white,1734,1748,Queen's Gambit Refused: Marshall Defense,4,15+0
101,resign,white,1942,1739,French Defense: Marshall Variation,6,10+0
75,outoftime,white,1724,1855,Scotch Game,7,10+0
135,mate,white,1951,1729,French Defense: Advance Variation ,11,10+0
81,outoftime,white,1726,1388,Philidor Defense,5,10+0
46,resign,black,1735,1806,Gruenfeld Defense,6,10+0
70,mate,black,1597,1728,French Defense: Knight Variation,3,10+0
39,resign,white,1743,1738,French Defense: Rubinstein Variation ,10,10+0
91,resign,white,1721,1750,Queen's Gambit Declined: Traditional Variation,7,10+0
137,outoftime,white,1746,1487,Queen's Gambit Accepted: Old Variation,5,10+0
46,resign,black,1744,1735,French Defense: Advance Variation ,9,10+0
18,resign,black,1749,1631,Queen's Gambit Declined: Semi-Tarrasch ,9,10+0
28,resign,black,1769,1396,Queen's Gambit Accepted: Old Variation,5,10+0
40,resign,black,1795,1760,Yusupov-Rubinstein System,5,5+8
111,mate,white,1729,1795,Queen's Gambit Declined: Queen's Knight Variation,5,15+0
54,mate,black,1795,1784,Ruy Lopez: Classical Variation,6,10+0
33,resign,white,1770,1872,Queen's Pawn Game: Zukertort Variation,3,10+0
90,resign,black,1783,1721,Queen's Pawn Game: London System,5,10+0
90,resign,black,1884,1768,Ruy Lopez: Classical Variation ,7,10+0
40,mate,black,1756,1756,Bishop's Opening: Ponziani Gambit,5,10+0
49,outoftime,white,1724,1958,Benoni Defense: Benoni-Indian Defense ,5,8+0
50,resign,black,2036,1706,King's Indian Attack: French Variation,6,10+0
59,mate,white,1706,925,Queen's Pawn Game: London System,5,10+0
26,outoftime,black,1244,1219,Nimzowitsch Defense: Mikenas Variation,4,15+15
23,mate,white,1215,921,Italian Game,5,15+15
118,mate,black,1350,1201,Alekhine Defense #2,5,15+15
66,mate,black,1210,1280,Sicilian Defense: Nimzowitsch Variation,4,15+15
120,draw,draw,1139,1212,Four Knights Game: Italian Variation,8,15+15
36,mate,black,1220,1341,Italian Game: Two Knights Defense ,11,15+15
26,mate,black,1234,1359,Italian Game: Anti-Fried Liver Defense,6,15+15
62,resign,black,1275,1236,Italian Game: Two Knights Defense ,11,15+15
37,resign,white,1433,1282,Alekhine Defense: Maroczy Variation,3,15+15
24,resign,black,1132,1276,Queen's Gambit Refused: Marshall Defense,4,15+15
47,resign,white,1276,1308,Italian Game: Anti-Fried Liver Defense,6,30+2
37,resign,black,1228,1266,Alekhine Defense: Two Pawn Attack ,7,15+15
24,resign,black,1273,1409,Caro-Kann Defense: Exchange Variation,5,15+15
9,resign,white,1338,1277,Queen's Pawn Game #2,3,15+15
47,mate,white,1263,1336,Sicilian Defense: Modern Variations ,8,15+15
85,mate,white,1316,1273,English Opening: King's English Variation,2,15+15
39,mate,white,1248,1253,Goldsmith Defense,2,15+15
58,mate,black,1335,1233,Nimzo-Indian Defense,6,15+15
95,mate,white,1223,1189,Italian Game: Two Knights Defense ,11,15+15
97,mate,white,1227,1216,Queen's Gambit Refused: Marshall Defense,4,15+15
12,draw,draw,1215,1219,Italian Game,5,15+15
30,resign,white,1227,1227,Four Knights Game: Italian Variation,8,15+15
43,mate,white,1550,1225,Bogo-Indian Defense: Exchange Variation,8,10+0
11,resign,white,1325,1234,Alekhine Defense,2,15+15
72,mate,black,1212,1221,Alekhine Defense: Saemisch Attack,5,15+15
156,mate,black,1226,1478,King's Knight Opening,3,15+15
18,resign,black,1228,1626,Queen's Gambit Declined,4,25+0
77,mate,white,1191,1228,French Defense: Classical Variation ,7,10+2
32,resign,black,1422,1210,Alekhine Defense: Two Pawn Attack,5,30+0
35,resign,white,1186,1223,Vienna Game: Vienna Gambit,5,15+15
85,mate,white,1212,1212,Modern Defense,2,15+15
50,resign,black,1228,1343,Scandinavian Defense: Panov Transfer,6,15+15
111,resign,white,1865,1862,Yusupov-Rubinstein System,5,10+10
65,outoftime,white,1852,1852,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5,7+2
73,resign,white,1833,1863,Benoni Defense,4,15+0
125,resign,white,1851,1918,Sicilian Defense: Hyperaccelerated Dragon,4,15+0
76,resign,black,1861,1844,Italian Game: Anti-Fried Liver Defense,6,15+0
65,outoftime,white,1853,1774,Ruy Lopez: Berlin Defense #2,6,10+0
41,mate,white,1910,1862,Sicilian Defense: Najdorf ,11,10+0
59,resign,white,1851,1890,French Defense: Knight Variation,3,10+0
70,resign,black,1860,1840,Sicilian Defense: Delayed Alapin,5,15+5
34,resign,white,1828,1848,Sicilian Defense: Canal-Sokolsky Attack,5,25+25
69,outoftime,white,1855,1858,Amar Opening,1,8+0
63,resign,white,1847,1895,Ruy Lopez: Morphy Defense ,8,10+10
107,resign,white,1885,1856,Sicilian Defense,4,10+10
58,resign,white,1847,1802,Queen's Pawn,1,30+0
34,resign,black,1847,1856,Caro-Kann Defense: Two Knights Attack ,6,20+5
100,outoftime,black,1840,1837,Sicilian Defense: Alapin Variation,3,15+0
80,resign,black,1848,1806,Sicilian Defense: French Variation,4,5+5
44,resign,black,1860,1820,French Defense: Knight Variation,3,15+0
40,outoftime,black,1854,1849,Paleface Attack,3,10+0
105,outoftime,white,1895,1859,Sicilian Defense,4,10+0
50,resign,black,1866,1965,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack ,6,15+0
144,outoftime,draw,1866,1843,Sicilian Defense,4,10+0
81,resign,black,1835,1866,Caro-Kann Defense: Classical Variation ,11,10+0
69,resign,black,1877,1860,Ruy Lopez: Bird Variation,6,15+0
77,mate,white,1849,1874,Sicilian Defense: Najdorf Variation ,11,7+8
158,mate,black,1835,1865,Blumenfeld Countergambit #2,6,6+6
107,draw,draw,1866,1835,Italian Game: Two Knights Defense ,7,15+5
117,mate,white,1856,1829,Ruy Lopez: Morphy Defense #2,12,15+0
44,resign,white,1845,1846,Ruy Lopez: Morphy Defense ,8,10+0
40,resign,black,1834,1835,Sicilian Defense: Old Sicilian,4,15+0
59,resign,white,1846,1845,Caro-Kann Defense,2,15+5
110,resign,black,1845,1917,Queen's Gambit Refused: Marshall Defense,4,10+0
30,resign,black,1858,1790,Scandinavian Defense: Mieses-Kotroc Variation,4,15+0
54,resign,black,1871,1847,Sicilian Defense: Old Sicilian,4,10+0
69,resign,black,1846,1869,Philidor Defense,5,10+0
178,mate,black,1843,1836,Sicilian Defense: Alapin Variation,3,16+0
136,resign,black,1800,1826,Sicilian Defense,2,15+0
124,mate,black,1283,1267,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5,8+0
96,resign,black,1290,1270,Hungarian Opening,1,10+4
53,outoftime,white,1331,1281,Queen's Pawn Game #3,4,12+0
39,mate,white,1304,1292,Van't Kruijs Opening,1,10+0
10,mate,black,1305,1293,French Defense: Normal Variation,3,10+0
51,mate,white,1308,1317,Center Game: Berger Variation,8,10+0
18,resign,black,1296,1305,Italian Game: Giuoco Piano ,13,15+0
106,mate,black,968,1305,Four Knights Game: Italian Variation,8,30+0
38,mate,black,1293,1466,Philidor Defense #3,5,15+15
59,mate,white,1500,1299,Ruy Lopez: Exchange Variation,7,7+2
111,mate,white,1288,1232,Caro-Kann Defense,3,7+2
28,resign,black,1289,2108,Ruy Lopez: Morphy Defense ,9,7+2
101,outoftime,white,1431,1289,Center Game: Normal Variation,6,7+2
15,mate,white,1806,1289,Scotch Game,7,7+2
42,resign,white,1289,1311,Philidor Defense #3,5,7+2
118,resign,black,1431,1289,Englund Gambit Declined ,3,7+2
34,resign,black,1289,1484,Giuoco Piano,6,7+2
60,resign,black,1289,1810,Sicilian Defense: Hyperaccelerated Fianchetto,5,7+2
66,resign,black,1806,1289,Scotch Game,5,7+2
21,outoftime,white,1289,1500,Philidor Defense #3,5,5+8
73,mate,white,1409,1297,Ruy Lopez: Morphy Defense ,8,15+1
159,mate,white,1280,1485,Italian Game: Anti-Fried Liver Defense,6,15+1
74,resign,white,1280,1211,Scandinavian Defense: Mieses-Kotroc Variation,4,15+0
28,mate,black,1211,1280,Crab Opening,3,15+0
112,mate,black,1281,1765,Philidor Defense #4,6,10+0
104,resign,black,1288,1454,Petrov's Defense,4,15+1
40,mate,black,1560,1270,Queen's Gambit Refused: Chigorin Defense #2,5,15+1
44,mate,black,1274,1534,Sicilian Defense: Jalalabad Variation,4,15+1
150,draw,draw,1259,1663,Italian Game: Anti-Fried Liver Defense,6,15+1
60,mate,black,1614,1238,Queen's Pawn Game: London System,5,10+0
37,mate,white,1221,1417,French Defense: Advance Variation ,11,10+0
88,outoftime,black,1222,1732,Sicilian Defense: Open #3,7,10+0
113,mate,white,1232,1234,Ruy Lopez: Exchange Variation,7,10+0
55,mate,white,1240,1219,Russian Game: Damiano Variation ,8,20+5
135,mate,white,1590,1600,English Opening: Carls-Bremen System,5,10+0
137,draw,draw,1568,1617,Italian Game,5,10+0
97,outoftime,white,1500,1358,Four Knights Game,6,10+0
33,resign,black,1384,1325,Pirc Defense #4,2,10+2
29,resign,black,1384,1265,Zukertort Opening: Old Indian Attack,3,30+0
55,resign,black,1384,1950,Zukertort Opening: Sicilian Invitation,2,2+10
91,resign,white,1377,1249,Scandinavian Defense: Mieses-Kotroc Variation,4,20+10
53,resign,white,1375,1389,King's Pawn Game: Wayward Queen Attack ,4,9+0
49,mate,white,1378,1361,Philidor Defense,5,10+2
48,mate,black,1261,1371,King's Pawn Game: Maroczy Defense,4,10+2
20,resign,black,1380,1429,Sicilian Defense: Old Sicilian,4,10+9
87,mate,white,1369,1368,Russian Game: Damiano Variation,6,10+0
11,resign,white,1290,1371,Ruy Lopez: Morphy Defense ,9,10+0
110,draw,draw,1372,1326,St. George Defense,2,15+3
24,resign,white,1361,1383,Van't Kruijs Opening,1,6+7
23,resign,white,1217,1399,English Opening: King's English Variation ,4,15+15
81,mate,white,1387,1447,Ruy Lopez,5,15+30
34,resign,black,1474,1387,Scandinavian Defense,2,20+0
103,mate,white,1377,1351,Philidor Defense #2,4,15+2
29,resign,black,1389,1339,King's Pawn Game: McConnell Defense,4,30+10
22,resign,black,1389,1400,Philidor Defense #2,4,30+15
38,resign,white,1849,1389,Scotch Game,5,10+0
46,mate,black,1395,1378,Italian Game: Giuoco Pianissimo ,9,8+0
23,outoftime,white,1370,1257,Ruy Lopez: Bird Variation,6,5+5
31,resign,white,1360,1332,Nimzowitsch Defense: Lean Variation ,5,10+3
51,resign,white,1311,1360,King's Pawn Game: Beyer Gambit,4,10+0
87,mate,white,1714,1360,Ruy Lopez: Classical Variation,6,20+0
31,mate,white,1354,1217,Italian Game,5,45+30
38,resign,black,1245,1346,Queen's Gambit Accepted: Old Variation,5,15+15
43,resign,white,1346,1099,Italian Game: Anti-Fried Liver Defense,6,10+4
105,resign,white,1336,1287,King's Indian Attack: Keres Variation #2,4,9+2
87,outoftime,white,1580,1555,English Opening: Anglo-Scandinavian Defense,2,10+0
36,mate,black,1555,1580,Sicilian Defense: Marshall Counterattack,6,10+0
38,resign,black,1649,1547,French Defense: Advance Variation #4,6,6+6
110,resign,black,1426,1527,French Defense: Knight Variation,3,8+0
48,resign,black,1557,1547,Ruy Lopez: Morphy Defense ,8,15+0
95,mate,white,1557,1607,Nimzo-Indian Defense #2,5,5+8
70,mate,black,1607,1557,Bird Opening,1,5+8
42,resign,white,1557,1632,Sicilian Defense: Open #3,7,10+0
177,outoftime,white,1535,1609,Italian Game: Two Knights Defense ,11,10+3
114,mate,black,1713,1558,Hungarian Opening: Indian Defense,2,10+2
57,resign,white,1497,1730,Owen Defense,2,10+2
57,resign,white,1437,1552,Italian Game,5,7+3
82,draw,draw,1516,1552,Bird Opening,2,10+0
29,mate,white,1513,1456,Sicilian Defense,5,7+3
70,resign,black,1355,1478,Italian Game: Two Knights Defense ,7,10+0
97,mate,white,1638,1614,Italian Game: Anti-Fried Liver Defense,6,10+0
99,resign,white,1613,1934,Caro-Kann Defense: Maroczy Variation ,11,6+5
74,resign,black,1865,1613,Queen's Pawn Game: Torre Attack,5,10+0
48,mate,black,1776,1587,Queen's Pawn Game,2,8+0
77,mate,white,1568,1593,French Defense: Marshall Variation,6,15+0
80,resign,black,1605,1546,Scandinavian Defense: Icelandic-Palme Gambit,6,15+0
35,resign,white,1518,1709,Nimzowitsch Defense: Lean Variation ,5,8+0
33,resign,white,1728,1527,Semi-Slav Defense: Noteboom Variation,8,10+0
87,mate,white,1515,1379,Scandinavian Defense: Mieses-Kotroc Variation,4,10+0
40,resign,black,1538,1501,Robatsch (Modern) Defense,4,10+0
54,resign,black,1511,1516,Queen's Gambit Declined,4,10+0
67,resign,black,1464,1495,Ruy Lopez: Exchange Variation ,9,10+0
21,mate,white,1470,1475,King's Pawn Game: Damiano Defense,4,10+0
14,mate,black,1490,1440,Italian Game: Schilling-Kostic Gambit,6,10+0
71,resign,white,1611,1974,Queen's Gambit Declined: Semi-Tarrasch ,18,15+15
72,outoftime,black,1611,1945,Nimzo-Indian Defense: Ragozin Variation,8,10+0
62,resign,black,1584,1611,English Opening: Symmetrical Variation ,5,10+0
48,resign,black,1942,1611,Van't Kruijs Opening,1,10+0
6,outoftime,black,1217,1611,Four Knights Game,6,10+2
69,draw,draw,1611,2059,Semi-Slav Defense: Chigorin Defense,12,20+0
72,resign,white,1611,1478,Sicilian Defense: Quinteros Variation,4,15+15
40,mate,black,1486,1552,King's Pawn Game: Dresden Opening,5,15+15
29,mate,white,1453,1496,Modern Defense,2,15+15
44,resign,white,1340,1326,English Defense #2,2,15+15
59,mate,white,1532,1500,French Defense: Steinitz Attack,3,10+0
115,resign,white,1560,1557,King's Gambit Accepted ,6,10+0
70,resign,black,1571,1577,Bird Opening: Dutch Variation,2,10+0
36,resign,black,1580,1617,Bird Opening,2,10+0
83,resign,white,1531,1593,Four Knights Game: Gunsberg Variation,7,10+0
99,draw,draw,1449,1597,Four Knights Game: Ranken Variation,9,10+0
43,resign,white,1743,1604,King's Gambit Accepted ,6,10+0
89,resign,white,1604,1614,Four Knights Game: Spanish Variation ,8,10+0
96,resign,black,1550,1605,Queen's Pawn Game: Mason Attack,3,10+0
116,mate,black,1630,1605,Petrov's Defense #5,8,10+0
78,mate,black,1475,1605,Hungarian Opening,1,15+0
77,mate,white,1605,1475,Bird Opening,1,15+0
70,mate,black,1475,1605,King's Pawn Opening: 2.b3,3,15+0
27,resign,white,1570,1605,Russian Game: Cochrane Gambit,7,10+0
102,resign,black,1605,1500,Bird Opening,1,10+0
21,resign,white,1500,1605,Four Knights Game: Italian Variation ,9,10+0
33,resign,white,1605,1500,Bird Opening,1,10+0
74,resign,black,1513,1605,Russian Game: Urusov Gambit,5,10+0
65,resign,white,1790,1874,Polish Opening,1,25+5
81,resign,white,1864,1805,Sicilian Defense: Closed Variation ,5,25+5
45,resign,black,1496,1861,Indian Game: Tartakower Attack,3,25+5
52,resign,white,1851,1853,Ruy Lopez: Berlin Defense ,8,25+5
51,resign,white,1861,1863,Caro-Kann Defense,4,10+0
48,draw,draw,1618,1609,French Defense: Knight Variation,3,10+0
20,resign,black,1620,1607,Van't Kruijs Opening,1,10+0
50,mate,black,1621,1496,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5,10+0
98,resign,black,1633,1581,Philidor Defense #3,5,10+0
106,mate,black,1623,1623,Ruy Lopez: Cozio Defense,6,10+0
19,resign,white,1612,1614,Italian Game,5,10+0
22,resign,white,1605,1624,Italian Game: Giuoco Pianissimo ,8,10+0
114,draw,draw,1693,1621,Indian Game: West Indian Defense,4,10+0
69,resign,black,1631,1684,Sicilian Defense,4,10+0
34,mate,black,1636,1619,Italian Game: Classical Variation ,8,10+0
40,mate,black,1613,1617,Italian Game: Two Knights Defense ,8,10+0
108,resign,black,1627,1495,Italian Game: Hungarian Defense,6,10+0
27,resign,white,1480,1643,Bishop's Opening,3,10+0
63,resign,white,1631,1652,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5,10+0
31,resign,white,1687,1641,Ponziani Opening,5,10+0
71,resign,white,1630,1638,Italian Game: Anti-Fried Liver Defense,6,10+0
92,mate,black,1414,1624,Ruy Lopez: Cozio Defense,6,10+0
47,mate,white,1619,1419,Italian Game: Two Knights Defense ,7,10+0
56,resign,black,1629,1659,Petrov's Defense #2,5,10+0
48,resign,white,1649,1639,Bishop's Opening,3,10+0
124,resign,black,1677,1627,Polish Opening,1,10+0
49,mate,white,1705,1636,Scotch Game: Classical Variation,8,10+0
64,resign,black,1647,1635,Sicilian Defense: Najdorf Variation,13,10+0
29,resign,white,1637,1627,Italian Game: Classical Variation #2,7,10+0
45,resign,white,1626,1631,Italian Game,5,10+0
96,resign,black,1602,1615,King's Gambit Accepted ,6,10+0
92,resign,black,1634,1603,Bishop's Opening,3,10+0
40,mate,black,1611,1591,Italian Game: Giuoco Pianissimo ,9,10+0
123,mate,white,1579,1623,Italian Game: Giuoco Piano ,19,10+0
129,mate,white,1995,1581,King's Indian Attack: Symmetrical Defense,4,10+0
120,mate,black,1589,1569,Gruenfeld Defense: Three Knights Variation ,9,10+0
71,draw,draw,1570,1555,Italian Game: Anti-Fried Liver Defense,6,10+0
97,mate,white,1559,1557,French Defense: Knight Variation,3,10+0
60,resign,white,1546,1571,Indian Game,2,10+0
57,resign,white,1550,1567,Sicilian Defense: Smith-Morra Gambit Declined ,6,10+0
38,resign,white,1560,1419,Caro-Kann Defense: Advance Variation,5,5+7
111,resign,white,1840,1564,Scotch Game: Haxo Gambit,8,8+0
119,resign,black,1660,1549,East Indian Defense,4,10+0
33,mate,white,1534,1678,Philidor Defense,5,10+0
32,resign,white,1789,1538,Blumenfeld Countergambit #2,6,10+0
96,resign,black,1841,1921,Center Game: Berger Variation,8,15+0
92,draw,draw,1926,1737,Zukertort Opening: Queenside Fianchetto Variation,2,8+10
64,resign,black,1629,1887,Queen's Pawn Game #2,3,8+2
10,resign,black,1860,1712,King's Gambit Accepted ,7,5+5
85,resign,white,1500,1568,Reti Opening: Reti Accepted,4,20+8
40,resign,black,1780,2132,Sicilian Defense: Najdorf Variation,10,10+0
58,resign,black,966,1124,Scandinavian Defense,2,10+0
26,outoftime,black,884,951,Nimzo-Larsen Attack: Modern Variation,2,15+15
4,outoftime,black,945,1070,King's Knight Opening,3,15+15
118,mate,black,971,1149,King's Pawn Game: Nimzowitsch Defense,3,10+0
11,mate,white,1238,985,Van't Kruijs Opening,1,15+15
163,outoftime,draw,972,1247,English Opening: King's English Variation,2,10+0
95,mate,white,1107,961,Nimzowitsch Defense: Mikenas Variation,4,10+0
37,resign,black,974,1129,Queen's Pawn Game: Chigorin Variation,3,10+0
101,mate,white,1203,970,Center Game #2,3,10+2
80,outoftime,black,998,937,French Defense: Pelikan Variation,5,10+0
78,resign,black,1016,1126,Van't Kruijs Opening,1,10+0
89,outoftime,draw,1025,1153,French Defense: Mediterranean Defense,4,10+0
42,mate,black,1047,1151,Queen's Pawn Game: Chigorin Variation,4,10+0
8,outoftime,black,998,1016,Ponziani Opening: Romanishin Variation,6,10+0
101,outoftime,white,1127,1044,King's Pawn Game: Wayward Queen Attack,3,10+0
65,outoftime,white,1020,1200,Queen's Pawn Game: Zukertort Variation,3,10+0
60,mate,black,1069,1071,Queen's Pawn Game: Symmetrical Variation,4,10+0
71,draw,draw,1071,1068,Queen's Pawn Game: Mason Attack,3,10+0
44,resign,black,1115,1223,Queen's Pawn Game: Chigorin Variation,4,10+0
20,resign,black,1190,1213,Queen's Pawn Game: Chigorin Variation,4,10+0
41,resign,white,1337,1337,King's Knight Opening,3,10+0
40,resign,black,1500,1500,Scandinavian Defense,2,10+0
27,resign,white,1500,1571,Philidor Defense: Exchange Variation #2,7,25+25
59,resign,black,1367,1866,Van't Kruijs Opening,1,15+10
19,mate,white,1590,1373,Owen Defense,2,10+0
50,mate,black,1377,1667,Hungarian Opening,1,10+0
34,resign,black,1558,1358,Ruy Lopez: Closed Variations ,15,10+0
15,mate,white,1476,1367,Owen Defense,2,5+8
52,resign,black,1376,1469,Van't Kruijs Opening,1,5+8
65,mate,white,1460,1386,Owen Defense,2,5+8
67,resign,white,1372,1408,Philidor Defense #3,5,10+0
31,resign,black,1373,2148,Sicilian Defense: French Variation,4,5+5
130,mate,black,1500,1395,French Defense #2,2,8+0
125,mate,white,1382,1414,French Defense: Exchange Variation,5,8+0
76,resign,black,1320,1400,French Defense: Knight Variation,3,15+5
121,resign,white,1383,1330,Torre Attack #2,3,15+5
53,resign,white,1383,1242,Queen's Pawn Game: Zukertort Variation,3,30+0
116,outoftime,black,1469,1357,French Defense: Advance Variation ,9,16+0
47,resign,white,959,1357,Creepy Crawly Formation: Classical Defense,4,25+0
53,resign,white,1357,959,Queen's Pawn Game: Mason Attack,3,25+0
76,mate,black,959,1357,Creepy Crawly Formation: Classical Defense,4,25+0
110,draw,draw,1588,1691,Italian Game: Giuoco Pianissimo ,8,15+10
67,mate,white,1541,1586,Sicilian Defense: Accelerated Dragon ,9,15+3
17,resign,white,1517,1320,Elephant Gambit,4,30+5
